,Artist,Lyrics
0,Bob Marley,"Stir it up, little darlin', stir it up, me on, baby
Come on and stir it up, little darlin', stir it up, oh-oh

It's been a long, long time, yeah (stir it, stir it, stir it together)
Since I've got you on my mind (oh-oh-oh-oh) oh-oh
Now you are here (stir it, stir it, stir it together), I said
It's so clear
To see what we could do, baby, (oh-oh-oh-oh)
Just me and you

Come on and stir it up, little darlin'
Stir it up, come on, baby
Come on and stir it up, yeah
Little darlin', stir it up O-oh

I'll push the wood (stir it, stir it, stir it together)
Then I blaze ya fire
Then I'll satisfy your heart's desire (oh-oh-oh-oh)
Said, I stir it together (stir it, stir it, stir it together)
Every minute
All you got to do, baby, (oh-oh-oh-oh)
Is keep it in, and

(Stir it up) oh, little darlin'
Stir it up, baby
Come on and stir it up, oh-oh-oh
Little darlin', stir it up, wo-oh mmh, now, now

Quench me when I'm thirsty
Come on and cool me down, baby, when I'm hot (oh-oh-oh-oh)
Your recipe is, darlin' is so tasty
When you show and stir your pot

So, stir it up, oh
Little darlin', stir it up, wo, now
Come on and stir it up, oh-ah
Little darlin', stir it up

Oh, little darlin', stir it up, come on, babe
Come on and stir it up, wo-o-a
Little darlin', stir it up, stick with me, baby
Come on, come on and stir it up, oh-oh
Little darlin', stir it up, stir it, stir it, stir it, stir it,stir it"
1,Bob Marley,"Huh, please don't you rock my boat
'Cause I don't want my boat to be rockin' anyhow
Please don't you rock my boat, no
'Cause I don't want my boat to be rockin'

I'm tellin' you that, oh, ooh-aah, I like it a-like a-this
Can you miss?
And you should know, ooh-aah, when I like it a-like a-this
Am I really it? Ooh yeah
You satis- satis- satisfy my soul, morning time
Evening cold, -fy my soul
Yes, I've been a-tellin' you, bake me the sweetest cakes
I'm happy inside all the time
Oh, can't you see what you've done for me? Yeah

You make me feel like when we bend them new corners
We feel like sweepstake winners, yeah
When we bend them new corners
We feel like sweepstake winners

And I said, oh, ooh-aah, I like it a-like a-this
Yes, I do
And you should know, ooh-aah, when I like it a-like a-this
I've got it, just can't miss, ooh
Satis- satisfy my soul, darlin'
Make me love you in the morning time, yeah
If ever I treated you bad, make it up to me one time
'Cause I'm happy inside all the time
I want you beside me, yeah, to be mine

One thing you've got to do, is when a-we holding hands together
You've got to know that we love, a-love each other, yeah
And if every time you should walk away from me now
Uh, you'll now I need your sympathy, yeah

Can you see? Do you believe me?
Oh, darlin', darlin', I'm callin', callin'
Satisfy my soul, satisfy my soul
Never, never, never give it up now

All in the same boat
Rockin' on the same route
We gotta get together, join each other
And can't you see what I've got for you? Yeah

I'm happy, happy, happy, happy, happy, and not you can turn me blue now
Come a little closer, satisfy my"
2,Bob Marley,"Zion train is coming our way
The Zion train is coming our way
Oh, people, get on board (you better get on board)
Thank the Lord (praise fari)
I gotta catch a train, 'cause there is no other station
Then you going in the same direction (ooh-ooh)

Zion's train is coming our way
The Zion's train is coming our way

Which man can save his brother's soul? (save your brother's soul)
Oh man, it's just self control (oo-hoo-oo)
Don't gain the world and lose your soul (just don't lose your soul)
Wisdom is better than silver and gold
To the bridge (ooh, ooh)

Oh, where there's a will
There's always a way
Where there's a will
There's always a way (way, way, way, way)

Soul train is coming our way, er
Zion train is coming our way

Two thousand years of history (history)
Could not be wiped away so easily
Two thousand years of history (black history)
Could not be wiped so easily (could not be wiped so easily)

Oh, children, Zion train is comin' our way, get on board now
They said the Zion train is comin' our way
You got a ticket, so thank the Lord
Zion's train is, Zion's train is, Zion's train is, Zion's train
They said the soul train is coming our way
They said the soul train is coming our way"
3,Bob Marley,"Woman hold her head and cry
'Cause her son had been shot down in the street and died
From a stray bullet

Woman hold her head and cry
Explaining to her was a passerby
Who saw the woman cry (cry)
Wondering
How can she work it out 
Now she knows that the wages of sin is death, yeah!
Gift of Jah is life (life) 

She cried 
Ah-um, I, I know!
Johnny was a good man 
I, I know! (never did a thing wrong)
Johnny was a good, good, good, good, good, good, good, good, good, good, good man
(Johnny was good man) He cried, he cried

Wo-ooh! Woman hold her head and cry
As her son had been shot down in the street and died
Just because of the system (system)

Woman hold her head and cry
Comforting her I was passing by
She complained, then she cry

Oh-whoah 
yeah, I know now, I know, I know now (Johnny was a good man)
Said I know, hmm (Never did a thing wrong)
(Johnny was a good man)
Can a woman tender care, she cried, (Never did a thing wrong)
Cease towards the child she bear? (Johnny was a good man) 
Wo-ho-ho-ooh! Woman cry, woman (Never did a thing wrong)
She cried, wo-oh! She cried, yeah! (Johnny was a good man)
Can a woman tender care
Cease towards the child she bear? (Never did a thing wrong)
Wo-now, cry! (Johnny was a good man)"
4,Bob Marley,"Stir it up little darling, stir it up
Come on baby come on and stir it up little darling, stir it up
It's been a long long time since I've got you on my mind
And now you are here
I say it's so clear
To see what we can do, honey, just me and you

Come on and stir it up, little darling, stir it up
Come on baby come on and stir it up little darling, stir it up
I'll push the wood, I'll blaze your fire
Then I'll satisfy your heart's desire
Said I'll stir it up, yeah, ev'ry minute, yeah
All you got to do is keep it in, baby
And stir it up, little darling, stir it up
Come on and stir it up, oh, little darling, stir it up, yeah

Oh, will you quench me while I'm thirsty?
Come and cool me down when I'm hot?
Your recipe, darling, is so tasty
And you sure can stir your pot
So stir it up, little darling, stir it up
Come on and stir it up, oh, little darling, stir it up
Come on and stir it up, oh, little darling, stir it up"
5,Bob Marley,"I shot the sheriff
But I didn't shoot no deputy, oh no! Oh!
I shot the sheriff
But I didn't shoot no deputy, ooh, ooh, oo-ooh.)
Yeah! All around in my home town,
They're tryin' to track me down;
They say they want to bring me in guilty
For the killing of a deputy,
For the life of a deputy.
But I say:

Oh, now, now. Oh!
(I shot the sheriff.) - the sheriff.
(But I swear it was in selfdefence.)
Oh, no! (Ooh, ooh, oo-oh) Yeah!
I say: I shot the sheriff - Oh, Lord! -
(And they say it is a capital offence.)
Yeah! (Ooh, ooh, oo-oh) Yeah!

Sheriff John Brown always hated me,
For what, I don't know:
Every time I plant a seed,
He said kill it before it grow -
He said kill them before they grow.
And so:

Read it in the news:
(I shot the sheriff.) Oh, Lord!
(But I swear it was in self-defence.)
Where was the deputy? (Oo-oo-oh)
I say: I shot the sheriff,
But I swear it was in selfdefence. (Oo-oh) Yeah!

Freedom came my way one day
And I started out of town, yeah!
All of a sudden I saw sheriff John Brown
Aiming to shoot me down,
So I shot - I shot - I shot him down and I say:
If I am guilty I will pay.

(I shot the sheriff,)
But I say (But I didn't shoot no deputy),
I didn't shoot no deputy (oh, no-oh), oh no!
(I shot the sheriff.) I did!
But I didn't shoot no deputy. Oh! (Oo-oo-ooh)

Reflexes had got the better of me
And what is to be must be:
Every day the bucket a-go a well,
One day the bottom a-go drop out,
One day the bottom a-go drop out.
I say:

I - I - I - I shot the sheriff.
Lord, I didn't shot the deputy. Yeah!
I - I (shot the sheriff) -
But I didn't shoot no deputy, yeah! No, yeah!"
6,Bob Marley,"Stop that train, I'm leavin' today!
Stop that train, I'm leavin' anyway!
Stop that train, I'm leavin'
And I said, it won't be too long whether I'm right or wrong
I said, it won't be too long whether I'm right or wrong

All my good life I've been a lonely man
Teachin' my people who don't understand
And even though I tried my best
I still can't find no happiness

So I got to say
Stop that train, I'm leavin' oh, baby now!
Stop that train, I'm leavin', I don't care what you say!
Stop that train, I'm leavin'
And I said, it won't be too long whether I'm right or wrong
I said, it won't be too long whether I'm right or wrong

Some goin' east, and-a some goin' to west
Some stand aside to try their best
Some livin' big, but the most is livin' small
They just can't even find no food at all

I mean, stop it
Stop that train, I'm leavin', believe me, mm-hmm
Stop that train, I'm leavin', I don't mind!
Stop that train, I'm leavin'
And I said, it won't be too long whether I'm right or wrong
I said, it won't be too long whether I'm right or wrong

Stop that train, I'm leavin', believe me
Stop that train, I'm leavin', can't take it!
Stop that train, I'm leavin', got to be better!
It won't be too long whether I'm right or wrong
I said it won't be too long whether I'm right or wrong"
7,Bob Marley,"Hey happy people
This here is something new
I know you're gonna like it
So let me tell you what we're gonna do

Souls almighty (uh)
Don't you know we got the rhythm
Souls almighty (oh)
We are willing

Funky, funky cChicken (ooh)
And the mashed potato
Do the Alligator
Let's do it together
Souls almighty
Do you dig me ya'll

Souls almighty
My soul is raw
Ooh yeah
Get yourself together
In any kind of weather
Things will be mighty better
If you get it together (witness)

Souls almighty (ooh)
Don't you know we got the rhythm
Souls almighty 
Exactly when baby, you're not with him
Get yourself, yourself together

In any kind of weather (I'll come home baby)
Things will be mighty better
If we, if we get it together
Souls, don't you know we got the rhythm
Hit it brother!

Souls Almighty
O' baby, when you're not with him
Funky, funky chicken"
8,Bob Marley,"Ey!
This morning I woke up in a curfew
Oh God, I was a prisoner, too
Could not recognize the faces standing over me
All dressed in uniforms of brutality

How many rivers do we have to cross
Before we can talk to the boss?
I'm saying, all we got, it seems we have lost
We must have really paid the cost

That's why we gonna be burnin' and a-lootin' tonight
We're burnin' and a-lootin' tonight
Burnin' all pollution tonight
Oh, we're burnin' all illusion tonight

Ey!
Oh, give me the food and let me grow
Let the Roots Man take the gold
I say, 'cause all them drugs gonna make you slow, now
It's not the music from the ghetto

Eh!
Weeping and a-wailin' tonight
Weeping and a-wailin' tonight, lord, lord, lord, lord
Eh! (weeping and a-wailin' tonight)
Oh, (weeping and a-wailin' tonight) yeah!

How many rivers
How many rivers
Do we have to cross?
Talk to the boss
And one more, if all we got, we have lost
What I mean yeah, we must have really paid the cost

That's why we gonna be (burnin' and a-lootin' tonight)
Burning and a-lootin'
(Burnin' and a-lootin' tonight) lord, oh, lord, oh, lord, oh, lord
Burnin' all pollution tonight
(Burnin' all illusion tonight) eh!
(Weeping and a-wailin' tonight)
(Weeping and a-wailin' tonight) lord, oh, lord, oh, lord, oh, lord
(Weeping and a-wailin' tonight) who can stop the tears tonight?
(Weeping and a-wailin' tonight) so, pretty no, no tears tonight, eh!"
9,Bob Marley,"Uh, ah-oh-oh! I went downtown (said I went downtown)
I saw Miss Brown (said, I saw Miss Brown)
She had brown sugar (she had brown sugar)
All over her booga-wooga (over her booga-wooga)

I think I might join the fun, (I might join the fun)
But I had to hit and run (had to hit and run)
See I just can't settle down (just can't settle down)
In a kinky part of town

Ride on
Don't you know I've got to (ride on), oh baby
Ride on, see I just can't settle down (ride on)
Oh, I'm a leavin' town (kinky reggae)

Kinky reggae, take me away! (Kinky reggae, now) Kinky reggae, now!
Oh, kinky reggae; all I've got to say, kinky reggae, now!
Kinky reggae, oh baby! Kinky reggae, now!
It's gonna be kinky reggae (keep it up). Kinky reggae, now!
An' I would say: ride on, ride on, ride on (ride on)!
Oh, ride on, baby!
Ride on, come on, woo-o-o! (Ride on) Wo-now! Eh!

I went down to Piccadilly Circus (ooh-ooh)
Down there I saw Marcus (oo-ooh)
He had a candy tar (ooh-ooh-ooh)
All over his chocolate bar. (Oo-ooh)

I think I might join the fun (I might join the fun)
But I had to hit and run (had to hit and run)
See I just can't settle down (just can't settle down)
In a kinky, kinky part of town

Nice one; that's what they say (nice one)
But I'm leavin' you today (nice one)
Oh, darlin', please don't play (nice one)
Mama say, mama say

Kinky reggae, kinky reggae, uh! Kinky reggae, now!
Take it or leave it!
Kinky reggae, believe it! Kinky reggae, now!
It's kinky reggae, it's gonna be kinky reggae!
Kinky reggae, now! Cuka-yeah, now!
Kinky reggae sca-ba-dool-ya-bung, baby!
Kinky reggae, now, oh-oh-ooh!
(Ride on!) Ride on! Come on, yeah! (Ride on)
Riding on, riding on!
Ride on, kinky reggae. Come on, ride on! Eh! Eh!
Kinky, kinky, kinky as kinky (kinky reggae) can be! Reggae! Eh!
Kinky reggae! Let me hear ya say, now, kinky reggae, now. Oh!
It's kinky reggae! Kinky reggae, now! Kick it away!
Kinky reggae, kick it away, now! Kinky reggae, now, oh!
Ride on!"
